store_id, uptime_last_hour, uptime_last_day, uptime_last_week, downtime_last_hour, downtime_last_day, downtime_last_week
1043933350899013734, 0, 4, 20, 0, 0, 8 
1044350569730321852, 0, 7, 25, 0, 2, 13 
1045126309015021879, 4, 38, 175, 19, 8, 99 
1046062902039176146, 2, 10, 40, 13, 20, 19 
1046625104556736637, 0, 11, 25, 0, 1, 25 
1046695203099528435, 2, 19, 44, 21, 27, 50 
1048472060871258012, 2, 11, 43, 13, 19, 18 
1048487412286895027, 4, 10, 41, 1, 5, 21 
1049573275137902434, 5, 39, 175, 18, 7, 99 
1049982020610429807, 2, 19, 78, 21, 27, 39 
1050110736424701586, 0, 6, 22, 0, 1, 6 
1050423000865414301, 5, 21, 90, 10, 11, 40 
1050565545391667097, 0, 2, 5, 0, 0, 1 
1053878807136352286, 0, 8, 20, 0, 3, 12 
1057525043621726214, 4, 38, 119, 19, 8, 52 
1057820506590851592, 0, 4, 21, 0, 5, 15 
1058415345127439531, 0, 9, 30, 0, 2, 8 
1060079720879560216, 2, 2, 13, 2, 2, 3 
1060179255899616212, 1, 12, 26, 15, 20, 10 
1060707578719574169, 5, 19, 80, 9, 9, 39 
1061377620149100407, 2, 7, 30, 10, 17, 18 
1062490453651181568, 0, 0, 1, 0, 0, 0 
1064112117197892037, 0, 9, 33, 0, 2, 15 
106468360682739586, 0, 9, 27, 0, 0, 11 
1065143266538840095, 0, 10, 41, 0, 0, 11 
1066245913385646140, 0, 8, 27, 0, 2, 13 
1067538211658205745, 0, 0, 1, 0, 0, 0 
1068022646604801297, 0, 28, 106, 0, 15, 41 
1069175913867471706, 0, 10, 35, 0, 0, 7 
10698744144787762, 0, 11, 34, 0, 1, 8 
1070946354555868260, 0, 11, 34, 0, 0, 12 
107097686070974319, 0, 2, 7, 0, 1, 2 
1072565569128117545, 0, 0, 39, 0, 0, 21 
1073576646108301626, 0, 28, 78, 0, 15, 26 
1075549594145813154, 0, 11, 39, 0, 1, 9 
1076119633369684283, 4, 38, 172, 19, 8, 89 
1076149370196351828, 0, 7, 25, 0, 3, 15 
107685653027490811, 0, 7, 25, 0, 2, 13 
1077148464740608124, 2, 8, 32, 11, 18, 18 
1077901899928224326, 2, 19, 72, 21, 27, 45 
1078577099456014476, 0, 9, 30, 0, 1, 20 
1079126965017760358, 0, 6, 23, 0, 4, 17 
1080003241488995926, 0, 0, 5, 0, 0, 4 
1080245494597782861, 0, 4, 8, 0, 2, 4 
108258734115101969, 0, 22, 102, 0, 6, 38 
1083847188438126371, 0, 11, 45, 0, 1, 8 
1084653751009957636, 0, 10, 31, 0, 0, 9 
1086760578317199372, 0, 0, 26, 0, 0, 10 
1086950757564092295, 2, 19, 72, 21, 27, 45 
1087889765091730849, 0, 6, 21, 0, 5, 34 
1088902028895856787, 0, 9, 39, 0, 5, 19 
1090423191169208954, 0, 0, 30, 0, 0, 8 
1091306445493916403, 0, 9, 28, 0, 0, 10 
1091310099317588321, 0, 11, 25, 0, 2, 15 
1091945810399721896, 1, 9, 38, 13, 19, 18 
1092839783920254293, 0, 9, 31, 0, 3, 18 
1095317074200225605, 0, 9, 30, 0, 1, 11 
1095327981484514935, 0, 0, 26, 0, 0, 10 
1096872701492823086, 4, 38, 179, 19, 8, 97 
1097172501930798643, 0, 0, 31, 0, 0, 13 
1097657735530242385, 0, 0, 17, 0, 0, 12 
